Instituicao,Descricao_Curso,Semestre_Ini,Semestre_fim,Forma_Ingresso,Sit_Matricula,Tempo,Sexo
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2016/2,Ação Afirmativa,Evadido,1,M
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2016/2,Ampla Concorrência,Evadido,1,M
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2016/2,Ampla Concorrência,Evadido,1,M
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2016/2,Ampla Concorrência,Evadido,1,F
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2018/1,Ampla Concorrência,Evadido,"2,5",M
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2017/2,Ampla Concorrência,Evadido,2,F
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2017/2,Ampla Concorrência,Evadido,2,M
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2021/2,Ampla Concorrência,Evadido,6,M
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2017/2,Ação Afirmativa,Evadido,2,F
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2017/2,Ação Afirmativa,Evadido,2,F
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2020/1,Ação Afirmativa,Evadido,"4,5",M
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2018/1,Ação Afirmativa,Evadido,"2,5",F
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2017/2,Ampla Concorrência,Evadido,2,F
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2018/1,Ampla Concorrência,Evadido,"2,5",M
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2018/2,Ampla Concorrência,Evadido,3,M
Campus Aracruz,BAQUIN - Bacharelado em Química Industrial,2016/1,2018/2,Ampla Concorrência,Evadido,3,M
