Desc_Instituicao;Modalidade;Desc_Curso
Campus Vitória;Superior;Licenciatura em Química Integral
Campus Vitória;Pós-Graduação;Pós Graduação em Engenharia Sanitária e Ambiental - Diurno
Campus Vitória;Ensino Médio;Ensino Médio
Campus Vitória;Ensino Médio;Ensino Médio p/ Trabalhadores
Campus Cachoeiro de Itapemirim;Concomitante/Subsequente;Técnico em Eletromecânica
Campus Cachoeiro de Itapemirim;Concomitante/Subsequente;Técnico em Mineração com Ênfase em Rochas Ornamentais
Campus Vitória;Concomitante/Subsequente;Técnico em Agrimensura
Campus Vitória;Concomitante/Subsequente;Técnico em Eletrotécnica
Campus Vitória;Concomitante/Subsequente;Técnico em Estradas
Campus Vitória;Concomitante/Subsequente;Técnico em Mecânica
Campus Vitória;Concomitante/Subsequente;Técnico em Metalurgia
Campus Vitória;Integrado;Técnico em Estradas Integrado ao Ensino Médio
Campus Vitória;Integrado;Técnico em Eletrotécnica Integrado ao Ensino Médio
Campus Vitória;Integrado;Técnico em Metalurgia Integrado ao Ensino Médio
Campus Vitória;Integrado;Técnico em Segurança do Trabalho Integrado ao Ensino Médio
Campus Vitória;Proeja;Técnico em Edificações Integrado ao Ensino Médio
Campus Vitória;FIC;Formação Inicial  Operação de Instrumentos Topográficos Integrado com EMJAT- Vespertino
Campus Serra;FIC;Formação continuada em Automação Industrial
Campus Serra;Proeja;Técnico de Informática Integrado PROEJA
Campus Serra;Proeja;Técnico em Automação Industrial Integrado PROEJA
Campus Cachoeiro de Itapemirim;Concomitante/Subsequente;Técnico em Informática
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio em Transportes
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio em Segurança do Trabalho
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio Modular em Agrimensura
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio Modular em Estradas
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio Modular em Edificações
Campus Vitória;Concomitante/Subsequente;Técnico em Eletrotécnica
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio Modular em Metalurgia
Campus Vitória;Concomitante/Subsequente;Técnico em Segurança do Trabalho
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio Modular em Meio Ambiente
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio Modular em Processamento de Dados
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio Modular em Química com ênfase em Alimentos
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio Modular em Farmácia
Campus Vitória;Concomitante/Subsequente;Técnico em Mecânica
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio Modular em Transportes
Campus Vitória;Concomitante/Subsequente;Técnico em Construção Civil com Habilitação em Construção de Edifícios
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio Modular em Geomática
Campus Vitória;Integrado;Técnico em infra-estrutura de vias de transporte - Estradas - Diurno
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio em Infra-estrutura de Vias de Transporte
Campus Vitória;Concomitante/Subsequente;Técnico em Transportes de Cargas
Campus Vitória;Concomitante/Subsequente;Téc. Pós Médio em Planejamento e Operação de Transportes
Campus Vitória;Concomitante/Subsequente;Téc. Modular em Metalurgia e Materiais
Campus Vitória;Concomitante/Subsequente;Técnico  em Química
Campus Vitória;Superior;Superior de Tecnologia em Manutenção Eletromecânica
Campus Vitória;Superior;Superior de Tecnologia em Saneamento Ambiental
Campus Vitória;Superior;Superior de Tecnologia em Metalurgia e Materiais
Campus Vitória;Superior;Superior de Tecnologia em Processos Metalúrgicos
Campus Vitória;Pós-Graduação;Pós-Graduação em Engenharia de Segurança do Trabal
Campus Vitória;Concomitante/Subsequente;Especialização Técnica em Petróleo e Gás
Campus Colatina;Integrado;Técnico em Construção Civil com Ênfase em Construção de Edifícios
Campus Vitória;Superior;Engenharia Elétrica
Campus Vitória;Superior;Engenharia Metalúrgica
Campus Vitória;Pós-Graduação;Especialização em Educação Profissional Técnica Integrada ao ensino médio na modalidade EJA
Campus Colatina;FIC;Formação Inicial de Montagem de Redes de Computadores Integrado com Emjat
Campus Colatina;Proeja;Técnico em Segurança do Trabalho
Campus Colatina;Concomitante/Subsequente;Técnico em Segurança do Trabalho
Campus Colatina;Concomitante/Subsequente;Técnico em Construção Civil com Habilitação em Construção de Edifícios
Campus Colatina;Concomitante/Subsequente;Técnico em Informática
Campus Colatina;Superior;Tecnologia em Redes de Computadores
Campus Colatina;Integrado;Técnico em Administração semestral
Campus Colatina;Superior;Tecnologia em Saneamento Ambiental
Campus Serra;Concomitante/Subsequente;Técnico em Informática - Campus Serra
Campus Serra;Concomitante/Subsequente;Técnico em Automação Industrial - Campus Serra
Campus Serra;Superior;Superior de Tecnologia em Redes de Computadores
Campus Serra;Superior;Tecnologia em Análise e Desenvolvimento de Sistemas
Campus Cariacica;Concomitante/Subsequente;Técnico em Transporte Ferroviário
Campus Colatina;Pós-Graduação;Especialização em Educação Profissional Técnica Integrada ao Ensino Médio na Modalidade EJA - UNED COL
Campus Serra;Superior;Engenharia de Controle e Automação
Campus Serra;Superior;Tecnologia em Análise e Desenvolvimento de Sistemas
Centro de Referência em Formação e em Educação a Distância;FIC;Análise e Desenvolvimento de Sistemas
Campus Colatina;Pós-Graduação;Especialização em Educação Profissional Técnica Integrada à Educação Básica na Modalidade de EJA
Campus Vitória;Pós-Graduação;Especialização em Educação Profissional Técnica Integrada à Educação Básica na Modalidade de EJA
Campus Serra;Pós-Graduação;Especialização em Educação Profissional Técnica Integrada à Educação Básica na modalidade EJA
Campus São Mateus;Concomitante/Subsequente;Técnico em Eletrotécnica
Campus São Mateus;Concomitante/Subsequente;Técnico em Mecânica
Campus Cariacica;Concomitante/Subsequente;Técnico em Portos
Campus Cariacica;Integrado;Técnico em Transporte Ferroviário Integrado ao Ensino Médio
Campus Vitória;Superior;Licenciatura em Matemática
Campus Cariacica;Integrado;Técnico em Portos Integrado ao Ensino Médio
Campus Cachoeiro de Itapemirim;Concomitante/Subsequente;Técnico em Mineração
Campus Cariacica;Pós-Graduação;Pós-Graduação em Engenharia Ferroviária
Campus Cariacica;Pós-Graduação;Pós-Graduação em Engenharia de Produção com Ênfase em Gestão Organizacional
Campus Aracruz;Concomitante/Subsequente;Técnico em Mecânica
Campus Aracruz;Concomitante/Subsequente;Técnico em Química
Centro de Referência em Formação e em Educação a Distância;Superior;Tecnólogo em Análise e Desenvolvimento de Sistemas
Campus São Mateus;Pós-Graduação;Especialização em Educação Profissional Técnica Integrada à Educação Básica na Modalidade EJA - SM
Campus Vitória;Superior;Engenharia Sanitária e Ambiental
Campus Vitória;Integrado;Técnico em Mecânica Integrado ao Ensino Médio
Campus Serra;Superior;Sistemas de Informação
Campus São Mateus;Integrado;Técnico em Mecânica Integrado
Campus Cariacica;Superior;Engenharia de Produção
Campus Vitória;Concomitante/Subsequente;Técnico em Geoprocessamento
Campus São Mateus;Integrado;Técnico em Eletrotécnica Integrado
Campus Nova Venécia;Concomitante/Subsequente;Técnico em Edificações
Campus Nova Venécia;Concomitante/Subsequente;Técnico em Mineração
Campus de Alegre;Superior;Superior de Tecnologia em Aquicultura - Alegre
Campus Cachoeiro de Itapemirim;Integrado;Técnico em Eletromecânica Integrado
Campus Cachoeiro de Itapemirim;Integrado;Técnico em Informática Integrado
Campus Aracruz;Integrado;Técnico em Mecânica Integrado ao Ensino Médio
Campus Itapina;Concomitante/Subsequente;TÉCNICO AGRÍCOLA COM HABILITAÇÃO EM AGRICULTURA
Campus Aracruz;Integrado;Técnico em Química Integrado ao Ensino Médio
Campus Vitória;Pós-Graduação;Especialização em Ensino Médio Integrado à Educação Profissional Técnica de Nível Médio (Vitória)
Campus São Mateus;Pós-Graduação;Curso de Aperfeiçoamento em PROEJA - São Mateus
Campus Nova Venécia;Integrado;Técnico  Edificações Integrado
Campus Nova Venécia;Integrado;Técnico  Mineração Integrado
Campus Santa Teresa;Concomitante/Subsequente;Técnico em Meio Ambiente
Campus Santa Teresa;Integrado;Técnico em Agropecuária Integrado ao Ensino Médio
Campus Santa Teresa;Proeja;Técnico em Agroindústria Integrado ao Ensino Médio Para Jovens e Adultos
Centro de Referência em Formação e em Educação a Distância;Concomitante/Subsequente;TECNICO EM INFORMÁTICA
Campus Linhares;Concomitante/Subsequente;Técnico em Automação Industrial
Campus Linhares;Concomitante/Subsequente;Técnico em Administração
Campus Linhares;Integrado;Técnico em Administração Integrado
Campus Vitória;Pós-Graduação;Mestrado em Engenharia Metalúrgica e de Materiais
Centro de Referência em Formação e em Educação a Distância;Superior;Licenciatura em Informática
Campus Cachoeiro de Itapemirim;Superior;Engenharia de Minas
Campus Colatina;Concomitante/Subsequente;Técnico em Edificações
Campus São Mateus;FIC;Formação Inicial e Continuada em Operador de Caldeira integrada ao ensino fundamental - EJA
Campus São Mateus;FIC;Formação Inicial e Continuada em Soldador a Arco Elétrico integrado ao ensino fundamental - EJA
Campus São Mateus;FIC;Formação Inicial e Continuada em Desenhista Auxiliar integrada ao ensino fundamental - EJA
Campus Itapina;Proeja;TÉCNICO EM ALIMENTOS PROEJA
Campus Itapina;Integrado;TÉCNICO EM AGRICULTURA
Campus Vitória;Pós-Graduação;Gestão na Sala de Aula
Campus São Mateus;Superior;Engenharia Mecânica
Campus Colatina;Integrado;Técnico em Administração Integrado ao Ensino Médio
Campus Colatina;Proeja;Técnico em Comércio
Campus Colatina;Integrado;Técnico em Edificações Integrado ao Ensino Médio
Campus Vitória;Integrado;Técnico em Edificações Integrado ao Ensino Médio - Anual
Campus Linhares;Integrado;Técnico em Automação Industrial Integrado
Campus de Alegre;Superior;Licenciatura em Ciências Biológicas
Campus Itapina;Integrado;TÉCNICO EM ZOOTECNIA
Campus Cariacica;Concomitante/Subsequente;Técnico em Logística
Campus Itapina;Integrado;TÉCNICO EM AGROPECUÁRIA
Campus Itapina;Concomitante/Subsequente;TÉCNICO EM AGROPECUÁRIA
Campus Cachoeiro de Itapemirim;Superior;Licenciatura em Matemática
Campus Vitória;Superior;Licenciatura em Matemática - Noturno
Campus de Alegre;Superior;Superior de Tecnologia em Cafeicultura
Campus de Alegre;Integrado;Técnico em Agropecuária Integrado - Alegre
Campus de Alegre;Integrado;Técnico em Agroindústria Integrado - Alegre
Campus de Alegre;Proeja;Técnico em Agroindústria Integrado PROEJA - Alegre
Campus São Mateus;FIC;Formação Inicial e Continuada em Operador de Refr.Ar Condiciado integrado ao Ens.Fund. - EJA
Campus São Mateus;FIC;Formação Inicial e Continuada em Eletricista Auxiliar integrado ao Ensino Fundamental - EJA
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-Graduação em Gestão Pública Municipal
Campus Santa Teresa;Superior;Ciências Biológicas
Campus Santa Teresa;Superior;Agronomia
Campus Santa Teresa;Superior;Tecnologia em Análise e Desenvolvimento de Sistemas
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-Graduação Lato Sensu em Informática na Educação
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-Graduação em Educação Profissional Integrada à Educação Básica na Modalidade de Educação de Jovens e Adultos
Campus Itapina;Concomitante/Subsequente;TÉCNICO EM ZOOTECNIA
Campus Itapina;Concomitante/Subsequente;TÉCNICO AGRÍCOLA COM HABILITAÇÃO EM AGROPECUÁRIA
Campus Serra;FIC;Formação Inicial e Continuada de Eletricista de Instalações
Campus Serra;FIC;Formação Inicial e Continuada em Operador de Computador
Campus de Alegre;Concomitante/Subsequente;Técnico em Agropecuária - Alegre
Campus Itapina;Ensino Médio;ENSINO MÉDIO - ITAPINA
Campus Cachoeiro de Itapemirim;FIC;Auxiliar em Montagem de Computadores e Cabeamento de Redes
Campus Cachoeiro de Itapemirim;FIC;Operador de Pedreira
Campus Cachoeiro de Itapemirim;FIC;Eletricista Predial
Campus Cariacica;FIC;Formação Inicial e Continuada em Auxiliar Administrativo Integrado ao Ensino Fundamental na Modalidade EJA
Campus Vitória;Pós-Graduação;Pós-Graduação em Nível de Aperfeiçoamento - Educação e Afrodescendência
Campus Aracruz;Superior;Licenciatura em Química
Campus Guarapari;Concomitante/Subsequente;Técnico em Administração
Campus Guarapari;Concomitante/Subsequente;Técnico em Eletromecânica
Campus Itapina;Superior;Licenciatura em Ciências Agrícolas
Campus Itapina;Superior;Agronomia
Campus Piúma;Concomitante/Subsequente;CURSO TÉCNICO EM PROCESSAMENTO DE PESCADO
Campus Vila Velha;Concomitante/Subsequente;Técnico em Química
Campus Cariacica;Integrado;Técnico em Administração Integrado ao Ensino Médio
Campus Cariacica;Superior;Licenciatura em Física
Campus Venda Nova do Imigrante;Integrado;Técnico em Administração Integrado
Campus Venda Nova do Imigrante;Integrado;Técnico em Agroindústria Integrado
Campus Venda Nova do Imigrante;Proeja;Técnico em Administração Integrado - Proeja
Campus Venda Nova do Imigrante;Concomitante/Subsequente;Técnico em Administração
Campus Venda Nova do Imigrante;Concomitante/Subsequente;Técnico em Agroindústria
Campus Vila Velha;Superior;Licenciatura em Química
Campus Guarapari;Integrado;Técnico em Eletromecânica Integrado
Campus Vitória;Integrado;Técnico em Eletrotécnica Integrado ao Ensino Médio
Campus Guarapari;Integrado;Técnico em Administração Integrado
Campus Cariacica;Integrado;Técnico em Portos Integrado ao Ensino Médio
Campus Vitória;Integrado;Técnico em Edificações Integrado ao Ensino Médio
Campus Vitória;Integrado;Técnico em Estradas Integrado ao Ensino Médio
Campus Vitória;Superior;Licenciatura em Letras
Campus Colatina;Superior;Bacharelado em Sistemas de Informação
Campus Vitória;Concomitante/Subsequente;Técnico em Metalurgia
Campus Vitória;Concomitante/Subsequente;Técnico em Edificações
Campus Vitória;Concomitante/Subsequente;Técnico em Estradas
Campus Piúma;Integrado;TÉCNICO EM AQUICULTURA INTEGRADO
Campus Piúma;Integrado;TÉCNICO EM PESCA INTEGRADO
Campus de Alegre;Proeja;Técnico em Manutenção e Suporte em Informática Integrado PROEJA - Alegre
Campus de Alegre;Superior;Superior de Tecnologia em Análise e Desenvolvimento de Sistemas
Campus de Alegre;Pós-Graduação;Pós-Graduação em Agroecologia
Campus Serra;FIC;Formação em uso de Tecnologias Digitais
Campus Nova Venécia;FIC;FIC- Informática Básica - Nova Venécia
Campus Santa Teresa;Integrado;Técnico em Meio Ambiente Integrado ao Ensino Médio
Campus Piúma;FIC;FORMAÇÃO PROFISSIONAL BÁSICA EM TRABALHADOR NO PROCESSAMENTO DE PESCADO
Campus Guarapari;Pós-Graduação;Especialização em Gestão Estratégica de Negócios
Campus Cachoeiro de Itapemirim;Superior;Licenciatura em Informática EAD
Campus Serra;Pós-Graduação;Curso de Especialização em Informática na  Educação - Serra
Campus Vitória;Pós-Graduação;Especialização em Proeja
Campus Colatina;Pós-Graduação;Especialização em Educação Profissional e Tecnológica
Campus Vitória;Mestrado;Mestrado Profissional em Educação em Ciências e Matemática
Campus Serra;FIC;Formação Continuada em Instrumentação Analítica
Campus Serra;FIC;Formação Continuada em Sistema Supervisório
Campus Guarapari;Concomitante/Subsequente;Especialização Técnica em Gestão da Qualidade em Serviços
Campus Vitória;Concomitante/Subsequente;Técnico em Mecânica com ênfase em Manutenção Mecânica
